date,day_of_week,id,type,proj,proj_count,desc
20160103,Sunday,1.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,2.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,3.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,4.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,5.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,6.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,7.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160103,Sunday,8.0,G,NA,NA,Listening to How to Win Friends and Influence People by Dale Carnegie
20160104,Monday,1.0,G,NA,NA,Getting my journal set up for the month; Logging info from trip to Omaha; Getting organized
20160104,Monday,2.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20160104,Monday,3.0,W,CAHOFiling2015,NA,Checking Elizabeth's cat numbers
20160105,Tuesday,1.0,W,Mixed,NA,Getting set up for the day
20160105,Tuesday,2.0,W,Mixed,NA,Plan work for the upcoming week; Prepare for monthly analyst meeting
20160105,Tuesday,3.0,G,NA,NA,Listening to The Black Swan
20160105,Tuesday,4.0,H,NA,NA,Walk
20160105,Tuesday,5.0,G,NA,NA,Listening to The Black Swan
20160105,Tuesday,6.0,H,NA,NA,Walk
20160105,Tuesday,7.0,W,Mixed,NA,HO Filing: Update additive trend selection to 3.5%; Right Environment: Workload survey
20160105,Tuesday,8.0,W,Mixed,NA,Prepare for monthly CA analyst meeting; HO Filing: summarizing State Farm hearing
20160105,Tuesday,9.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,Tuesday,10.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,Tuesday,11.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160105,Tuesday,12.0,W,CAHOFiling2015,NA,Taking notes on State Farm hearing
20160106,Wednesday,1.0,W,Mixed,NA,Getting set up for the day
20160106,Wednesday,2.0,W,Nepoer,NA,Helping Antony
20160106,Wednesday,3.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,Wednesday,4.0,H,NA,NA,Walk
20160106,Wednesday,5.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,Wednesday,6.0,W,RightEnvironment,NA,Planning for 2016 and consolidating 1-1 notes
20160106,Wednesday,7.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160106,Wednesday,8.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160106,Wednesday,9.0,W,CAHOFiling2015,NA,Create CAT severity trend
20160107,Thursday,1.0,W,Mixed,NA,Getting set up for the day
20160107,Thursday,2.0,W,CAAutoSequential2016,68.0,Incorporate teenSMART
20160107,Thursday,3.0,W,CAHOFiling2015,NA,CAT trend work for Megan
20160107,Thursday,4.0,W,CAAutoSequential2016,69.0,Incorporate teenSMART
20160107,Thursday,5.0,W,CAAutoSequential2016,70.0,Incorporate teenSMART
20160107,Thursday,6.0,W,CAAutoSequential2016,71.0,Incorporate teenSMART
20160107,Thursday,7.0,W,CAAutoSequential2016,72.0,Run 100k test and update Excel workbook
20160107,Thursday,8.0,W,CAAutoSequential2016,73.0,Run 100k test and update Excel workbook
20160107,Thursday,9.0,G,NA,NA,Listening to Serial
20160107,Thursday,10.0,H,NA,NA,Walk
20160107,Thursday,11.0,G,ParseJournal,NA,Setting up project and timing #Python
20160107,Thursday,12.0,G,ParseJournal,NA,Overhead of installing opml package #Python
20160108,Friday,1.0,W,NA,NA,@Mixed Getting set up for the day; @CAAutoSequential2016 Split PHF and Investigate Distinguished Driver
20160108,Friday,2.0,W,Mixed,NA,Preparing for SA training session
20160108,Friday,3.0,G,NA,NA,Taking pictures by the river #photography
20160108,Friday,4.0,H,NA,NA,Walk
20160108,Friday,5.0,W,CAAutoSequential2016,74.0,Investigate Distinguished Driver; Re-run code after DISTING_NEW fix
20160109,Saturday,1.0,M,NA,NA,Booking hotel; downloading Rodeo; replying to Carrie about photos
20160109,Saturday,2.0,M,NA,NA,Replying to Carrie
20160109,Saturday,3.0,M,NA,NA,Replying to Carrie
20160109,Saturday,4.0,G,NA,NA,Listening to The Black Swan
20160109,Saturday,5.0,H,NA,NA,Walk
20160110,Sunday,1.0,G,NA,NA,Reading The Martian
20160110,Sunday,2.0,M,NA,NA,Researching cameras for Bailey
20160110,Sunday,3.0,M,NA,NA,Researching cameras for Bailey
20160110,Sunday,4.0,H,NA,NA,Occam's Protocol A
20160110,Sunday,5.0,H,NA,NA,Occam's Protocol A
20160110,Sunday,6.0,G,NA,NA,Listening to The Black Swan
20160110,Sunday,7.0,G,NA,NA,Photo of the week post; Redesigning website
20160110,Sunday,8.0,G,NA,NA,Writing an about me page
20160110,Sunday,9.0,G,NA,NA,2015 Yearmix
20160111,Monday,1.0,W,Mixed,NA,Getting set up for the day; Sending Friday email to Megan; Planning for the week
20160111,Monday,2.0,W,Mixed,NA,Advancing Analytics themes email
20160111,Monday,3.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,Monday,4.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,Monday,5.0,W,CAHOFiling2015,NA,Create additive loss development exhibit
20160111,Monday,6.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,Monday,7.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,Monday,8.0,W,CAHOFiling2015,NA,Update CAT trends
20160111,Monday,9.0,G,NA,NA,Reading History of Western Philosophy
20160111,Monday,10.0,G,NA,NA,Trying to get Rodeo to download packages on Mac
20160111,Monday,11.0,G,NA,NA,Trying to get Rodeo to download packages on Mac
20160112,Tuesday,1.0,W,NA,NA,@Mixed Getting set up for the day; @CAHOFiling2015 Emailing JFes; @QVC Getting off the team
20160112,Tuesday,2.0,W,Nepoer,NA,Replying to Brett
20160112,Tuesday,3.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,Tuesday,4.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,Tuesday,5.0,W,RightEnvironment,NA,Prepare for kickoff meeting tomorrow
20160112,Tuesday,6.0,W,CAAutoSequential2016,75.0,Re-run code for 100k and full PHF after DISTING_NEW fix
20160112,Tuesday,7.0,W,CAAutoSequential2016,76.0,Run through SA with 100k analysis to test Excel/SAS interaction and process
20160112,Tuesday,8.0,H,NA,NA,Walk
20160112,Tuesday,9.0,W,CAAutoSequential2016,77.0,Run through SA with 100k analysis to test Excel/SAS interaction and process
20160112,Tuesday,10.0,G,ParseJournal,NA,Get Rodeo set up on MacBook Air
20160112,Tuesday,11.0,G,ParseJournal,NA,Get Rodeo set up on MacBook Air
20160112,Tuesday,12.0,G,NA,NA,Reading A History of Western Philosophy
20160113,Wednesday,1.0,W,Mixed,NA,Getting set up for the day; cleaning up files
20160113,Wednesday,2.0,G,NA,NA,Reading The Four Hour Body
20160113,Wednesday,3.0,W,NA,NA,@Mixed @RightEnvironment Replying to Jen; @CAHOFiling2015 Additive support investigation
20160113,Wednesday,4.0,W,CAHOFiling2015,NA,Updating cat graphs
20160113,Wednesday,5.0,H,NA,NA,Occam's Protocol B
20160113,Wednesday,6.0,G,NA,NA,Listening to The Black Swan
20160113,Wednesday,7.0,W,CAAutoSequential2016,78.0,Starting full PHF SA; Running through 100k test and updating Excel
20160113,Wednesday,8.0,W,CAAutoSequential2016,79.0,Running through 100k test and updating Excel
20160113,Wednesday,9.0,W,CAAutoSequential2016,80.0,Starting full PHF SA; Running through 100k test and updating Excel
20160114,Thursday,1.0,W,Mixed,NA,Getting set up for the day
20160114,Thursday,2.0,W,CAHOFiling2015,NA,Draft additive support
20160114,Thursday,3.0,W,CAHOFiling2015,NA,Draft additive support
20160114,Thursday,4.0,W,CAAutoSequential2016,81.0,Running through 100k test and updating Excel
20160114,Thursday,5.0,W,CAAutoSequential2016,82.0,Running through 100k test and updating Excel
20160114,Thursday,6.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20160114,Thursday,7.0,H,NA,NA,Walk
